0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
19297,19283,19244,19180,19093,18969,18826,18662,18467,18250,18004,17745,17500,17213,16905,16580,16227,15828,15407,15004,14550,14090,13601,13142,12658,12172,11656,11147,10603,10074,9573,9071,8619,8165,7705,7298,6893,6471,6062,5659,5289,4966,4659,4399,4136,3875,3633,3404,3181,2967,2740,2511,2278,2063,1885,1714,1548,1376,1236,1106,971,863,759,676,580,503,436,376,323,293,275
19297,19280,19249,19202,19122,19033,18911,18759,18580,18376,18153,17884,17597,17294,16949,16575,16182,15757,15300,14840,14369,13909,13452,13006,12562,12112,11667,11224,10770,10284,9849,9379,8934,8497,8052,7619,7224,6815,6464,6100,5778,5504,5253,5000,4741,4487,4276,4082,3908,3708,3515,3329,3146,2995,2835,2673,2513,2383,2253,2130,2013,1890,1778,1682,1583,1481,1391,1312,1230,1150,1079
19297,19275,19236,19180,19096,19009,18870,18694,18494,18283,18023,17759,17454,17119,16723,16304,15850,15401,14939,14502,14006,13514,12982,12415,11832,11224,10629,10041,9485,8919,8369,7832,7325,6781,6313,5846,5414,4998,4611,4279,3947,3618,3316,3033,2775,2544,2337,2152,1974,1818,1688,1576,1480,1396,1321,1242,1169,1099,1036,966,899,849,808,765,722,670,630,594,555,516,477
19297,19279,19242,19172,19076,18951,18805,18638,18421,18199,17953,17661,17365,17057,16738,16372,15991,15603,15223,14799,14340,13899,13413,12955,12494,12040,11593,11147,10730,10293,9846,9436,8982,8545,8088,7659,7229,6854,6498,6142,5818,5503,5194,4918,4649,4387,4145,3928,3711,3517,3304,3110,2898,2667,2473,2294,2130,1969,1825,1670,1520,1366,1214,1068,943,793,653,540,467,418,374
19297,19283,19240,19190,19113,19014,18881,18722,18518,18288,18031,17727,17397,17029,16628,16192,15744,15277,14798,14260,13744,13242,12727,12185,11653,11126,10628,10141,9676,9213,8779,8335,7908,7493,7041,6610,6235,5872,5532,5220,4909,4598,4302,4015,3743,3488,3242,2994,2758,2566,2379,2194,2031,1867,1727,1571,1435,1322,1226,1124,1018,921,833,735,661,588,533,478,441,412,386
19297,19274,19228,19154,19065,18940,18794,18633,18425,18210,17978,17740,17488,17207,16897,16581,16264,15934,15580,15195,14823,14439,14055,13699,13316,12932,12542,12169,11784,11422,11086,10776,10434,10124,9803,9490,9189,8913,8640,8378,8095,7826,7553,7286,7005,6734,6481,6222,5938,5669,5402,5113,4840,4561,4276,4022,3754,3494,3202,2933,2681,2442,2228,2013,1802,1611,1437,1244,1048,885,751
19297,19282,19243,19187,19091,18963,18822,18647,18450,18187,17909,17623,17347,17039,16709,16400,16063,15689,15298,14884,14462,14062,13670,13263,12864,12432,11993,11567,11113,10685,10242,9820,9403,9007,8601,8195,7803,7395,7008,6647,6308,5951,5594,5248,4925,4637,4363,4103,3836,3583,3327,3109,2908,2712,2505,2304,2129,1945,1784,1619,1465,1330,1180,1047,926,817,719,649,571,507,451
19297,19277,19242,19187,19105,19007,18879,18740,18557,18337,18109,17872,17584,17277,16941,16563,16169,15778,15363,14906,14468,13986,13513,13021,12509,11984,11445,10891,10344,9833,9345,8872,8450,8023,7637,7259,6911,6553,6233,5965,5703,5462,5255,5082,4929,4796,4675,4551,4433,4315,4191,4069,3925,3815,3707,3598,3484,3378,3257,3140,3035,2934,2834,2720,2602,2485,2379,2286,2184,2099,2017
19297,19279,19242,19175,19090,18963,18808,18635,18432,18184,17884,17563,17202,16836,16408,15968,15539,15050,14611,14163,13665,13194,12740,12271,11787,11300,10828,10311,9795,9237,8670,8142,7608,7080,6564,6069,5600,5182,4792,4404,4074,3753,3471,3244,3014,2793,2573,2374,2183,1991,1829,1687,1556,1436,1334,1220,1113,1011,911,810,719,646,571,506,443,391,350,316,291,270,256
19297,19278,19237,19176,19082,18960,18808,18615,18379,18121,17830,17530,17189,16845,16491,16132,15754,15383,15047,14658,14277,13859,13468,13125,12791,12432,12103,11774,11462,11144,10829,10507,10208,9926,9635,9353,9068,8784,8499,8208,7958,7665,7393,7100,6797,6480,6179,5875,5565,5243,4953,4669,4390,4131,3874,3642,3444,3278,3109,2943,2787,2651,2528,2399,2286,2178,2085,1975,1874,1759,1653
19297,19277,19229,19155,19063,18930,18746,18546,18315,18048,17745,17404,17037,16660,16252,15811,15335,14868,14343,13827,13293,12786,12232,11740,11255,10764,10280,9833,9348,8884,8468,8055,7654,7274,6921,6543,6201,5884,5560,5235,4936,4658,4374,4091,3843,3608,3373,3143,2943,2756,2592,2438,2278,2135,1996,1878,1770,1647,1537,1438,1332,1254,1185,1122,1062,1010,961,903,853,801,760
19297,19276,19243,19199,19136,19036,18923,18755,18566,18347,18083,17807,17501,17197,16879,16522,16151,15789,15363,14920,14488,14045,13593,13110,12615,12161,11715,11269,10784,10291,9801,9340,8905,8458,8040,7616,7214,6815,6407,6036,5689,5333,4969,4599,4244,3851,3502,3157,2814,2431,2088,1769,1449,1177,937,754,619,512,436,379,334,311,287,271,254,250,246,243,240,239,239
19297,19275,19230,19160,19063,18948,18817,18652,18450,18244,18000,17751,17470,17175,16879,16590,16264,15953,15617,15278,14938,14542,14165,13763,13351,12895,12419,11957,11524,11044,10562,10077,9598,9121,8658,8220,7806,7411,6998,6608,6253,5939,5609,5276,4971,4717,4460,4228,3972,3727,3518,3286,3062,2828,2596,2373,2156,1940,1730,1529,1345,1213,1085,968,870,797,716,647,593,547,495
19297,19274,19233,19176,19087,18970,18829,18646,18455,18229,17991,17743,17477,17191,16853,16500,16112,15762,15379,15018,14659,14294,13888,13499,13092,12713,12301,11887,11442,11002,10562,10133,9647,9185,8689,8197,7681,7150,6619,6097,5584,5110,4661,4224,3811,3419,3088,2757,2462,2192,1945,1739,1546,1385,1226,1095,947,812,708,644,595,556,521,490,462,434,409,387,369,354,342
19297,19276,19232,19152,19045,18906,18754,18570,18346,18098,17795,17469,17113,16735,16337,15917,15504,15050,14620,14150,13710,13222,12713,12251,11781,11292,10825,10338,9861,9348,8821,8306,7796,7287,6811,6329,5857,5384,4944,4491,4071,3647,3258,2910,2572,2255,1968,1709,1459,1242,1061,929,839,764,701,651,599,565,527,497,469,440,411,385,359,337,324,307,283,268,256
19297,19279,19237,19174,19084,18964,18802,18607,18396,18117,17821,17492,17152,16807,16411,16001,15560,15092,14633,14190,13755,13273,12777,12279,11768,11293,10773,10344,9896,9468,9045,8652,8255,7880,7443,7037,6620,6266,5917,5541,5174,4810,4464,4150,3851,3592,3353,3123,2940,2754,2563,2389,2219,2061,1917,1775,1646,1508,1375,1248,1133,1031,940,865,785,720,658,604,558,519,487
19297,19281,19249,19184,19102,18999,18880,18707,18529,18295,18044,17765,17458,17126,16751,16337,15893,15411,14909,14392,13862,13351,12805,12258,11694,11142,10578,10036,9458,8875,8293,7696,7105,6541,6021,5514,5049,4578,4128,3715,3316,2982,2628,2299,2026,1780,1540,1310,1122,944,790,662,564,487,426,362,317,280,256,244,239,232,230,228,228,227,227,227,227,227,227
19297,19271,19226,19164,19062,18938,18791,18587,18337,18080,17766,17435,17078,16694,16276,15851,15403,15002,14580,14186,13805,13392,12983,12550,12145,11741,11339,10916,10534,10159,9810,9449,9077,8688,8309,7947,7557,7182,6828,6450,6108,5753,5440,5116,4814,4491,4217,3927,3681,3467,3273,3085,2888,2715,2550,2392,2231,2089,1966,1861,1757,1661,1587,1515,1431,1349,1278,1225,1159,1097,1030
