0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
15620,15599,15544,15465,15351,15221,15070,14915,14761,14584,14412,14237,14067,13892,13716,13539,13332,13124,12921,12710,12495,12267,12042,11791,11532,11283,11022,10746,10484,10202,9913,9612,9306,9004,8674,8339,8004,7669,7318,6975,6622,6240,5870,5482,5088,4684,4276,3875,3468,3075,2688,2292,1918,1558,1212,913,689,520,379,273,190,141,102,69,46,27,16,8,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
15620,15602,15555,15487,15389,15273,15138,14985,14807,14605,14411,14204,14007,13806,13600,13403,13194,12999,12780,12556,12325,12074,11821,11566,11314,11051,10777,10500,10217,9928,9628,9318,8995,8663,8327,7996,7638,7298,6944,6582,6209,5825,5439,5045,4642,4224,3831,3409,2999,2638,2279,1953,1630,1337,1065,817,576,394,256,171,87,44,20,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
15620,15601,15552,15479,15390,15279,15147,15000,14824,14655,14488,14326,14170,14000,13828,13631,13453,13256,13037,12818,12601,12390,12154,11905,11669,11417,11172,10900,10618,10324,10055,9746,9462,9150,8839,8507,8184,7837,7497,7138,6782,6409,6025,5647,5245,4850,4449,4022,3601,3182,2772,2369,1987,1638,1296,992,732,524,376,255,169,109,71,40,25,11,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15620,15604,15560,15500,15423,15319,15199,15056,14880,14684,14483,14270,14073,13889,13713,13534,13345,13155,12943,12729,12504,12280,12048,11817,11578,11311,11061,10793,10510,10239,9947,9663,9363,9067,8764,8441,8108,7766,7412,7052,6686,6323,5939,5533,5153,4762,4379,3993,3632,3276,2925,2564,2223,1871,1532,1246,1007,802,599,412,251,147,71,29,13,7,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15620,15599,15549,15476,15377,15282,15191,15089,14982,14873,14752,14640,14506,14360,14210,14059,13901,13733,13558,13367,13183,12973,12775,12556,12348,12124,11887,11648,11421,11163,10907,10653,10387,10109,9820,9514,9201,8901,8592,8258,7931,7602,7259,6895,6544,6186,5813,5424,5035,4626,4232,3843,3438,3017,2615,2278,1970,1708,1474,1269,1076,891,741,591,460,367,279,211,160,123,86,62,43,29,16,7,1,0,0,0,0,0,0,0,0,,,,,,
15620,15601,15553,15484,15387,15271,15139,15008,14870,14738,14607,14464,14317,14169,14009,13858,13684,13504,13320,13130,12930,12720,12501,12286,12057,11816,11583,11352,11098,10856,10597,10314,10028,9748,9433,9132,8821,8508,8186,7854,7523,7161,6815,6454,6097,5720,5334,4947,4556,4168,3792,3445,3094,2735,2402,2079,1784,1514,1267,1048,872,727,594,467,375,281,202,125,52,19,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,
15620,15595,15548,15473,15386,15288,15183,15073,14952,14832,14693,14555,14418,14273,14117,13956,13784,13614,13429,13240,13042,12821,12615,12398,12177,11949,11715,11463,11201,10935,10672,10413,10134,9842,9545,9246,8927,8622,8310,7977,7626,7283,6930,6576,6223,5851,5485,5080,4696,4301,3900,3531,3156,2800,2439,2107,1792,1538,1334,1160,1004,861,724,601,494,395,316,255,200,149,112,80,58,33,18,8,2,0,0,0,0,0,0,0,0,,,,,,
15620,15598,15538,15461,15353,15230,15095,14965,14809,14657,14502,14353,14199,14045,13883,13711,13537,13349,13162,12938,12728,12508,12282,12041,11814,11560,11304,11036,10764,10492,10212,9943,9653,9361,9051,8736,8405,8080,7730,7392,7054,6692,6339,5975,5591,5208,4813,4406,4000,3564,3133,2711,2309,1958,1642,1376,1161,996,841,707,604,496,400,313,233,170,115,78,51,34,18,6,0,0,0,0,0,0,0,0,,,,,,,,,,,
15620,15601,15552,15472,15371,15233,15100,14963,14844,14719,14593,14463,14318,14167,14005,13851,13688,13509,13324,13138,12928,12724,12510,12294,12075,11849,11607,11363,11126,10861,10578,10299,10011,9725,9420,9121,8802,8478,8160,7829,7492,7139,6784,6398,6034,5653,5261,4863,4473,4093,3701,3320,2952,2613,2296,1987,1702,1443,1198,965,760,565,387,236,142,87,54,31,14,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
15620,15600,15555,15481,15376,15269,15144,15042,14921,14821,14689,14564,14428,14293,14153,13996,13826,13656,13475,13294,13105,12901,12710,12500,12271,12046,11811,11554,11319,11045,10792,10508,10223,9942,9649,9337,9034,8712,8388,8048,7718,7370,7021,6663,6276,5880,5497,5122,4726,4342,3905,3492,3081,2698,2335,1988,1662,1402,1145,918,720,529,374,276,206,156,110,80,53,33,15,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,
15620,15601,15554,15485,15383,15255,15096,14917,14720,14525,14332,14146,13959,13774,13590,13394,13200,12984,12759,12549,12297,12060,11803,11556,11296,11038,10783,10513,10215,9905,9593,9297,8981,8663,8333,7986,7647,7295,6940,6581,6201,5821,5416,5017,4614,4216,3815,3414,3026,2632,2263,1919,1585,1276,1003,726,498,319,192,99,46,18,5,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
15620,15602,15549,15466,15354,15203,15046,14880,14727,14575,14427,14274,14106,13946,13778,13604,13436,13244,13051,12846,12648,12433,12213,11969,11740,11496,11254,10993,10732,10454,10159,9879,9583,9276,8958,8629,8315,7964,7632,7267,6898,6556,6192,5814,5428,5031,4633,4225,3787,3393,2978,2592,2223,1864,1552,1285,1035,822,637,469,334,219,109,53,17,7,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15620,15601,15558,15494,15426,15348,15270,15188,15104,15006,14901,14792,14679,14562,14434,14304,14165,14010,13844,13670,13500,13326,13131,12934,12733,12527,12313,12097,11857,11624,11374,11128,10870,10602,10335,10048,9759,9461,9157,8838,8531,8208,7874,7544,7187,6831,6481,6111,5737,5345,4955,4578,4208,3833,3478,3128,2833,2553,2291,2044,1807,1580,1372,1187,1014,875,734,607,490,386,290,202,121,85,58,40,25,11,4,2,0,0,0,0,0,0,0,0,,,
15620,15602,15559,15500,15418,15325,15217,15096,14966,14821,14674,14520,14364,14197,14035,13884,13712,13535,13343,13145,12943,12739,12529,12303,12082,11845,11595,11346,11107,10830,10548,10266,9980,9676,9373,9055,8731,8398,8061,7729,7383,7052,6710,6343,5973,5578,5167,4777,4372,3981,3580,3198,2811,2459,2119,1795,1512,1252,1067,891,745,622,513,409,308,220,147,98,58,35,16,4,1,0,0,0,0,0,0,0,0,,,,,,,,,,
15620,15598,15546,15472,15367,15237,15101,14969,14833,14705,14558,14420,14273,14113,13940,13777,13594,13407,13211,13002,12783,12561,12340,12121,11890,11660,11407,11151,10882,10598,10329,10036,9748,9431,9142,8820,8500,8167,7840,7496,7135,6780,6424,6055,5692,5316,4922,4546,4189,3827,3447,3051,2667,2290,1974,1664,1388,1130,889,691,519,389,262,169,110,65,33,12,4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
15620,15604,15551,15481,15381,15255,15126,14968,14794,14601,14387,14171,13956,13751,13534,13317,13116,12905,12675,12450,12226,11984,11738,11488,11229,10963,10686,10388,10108,9829,9524,9209,8891,8581,8254,7919,7568,7221,6855,6482,6103,5723,5333,4940,4538,4123,3722,3324,2973,2616,2273,1954,1689,1426,1185,945,731,538,351,217,121,50,17,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
15620,15601,15555,15482,15380,15259,15117,14952,14807,14660,14514,14361,14209,14046,13876,13700,13536,13359,13163,12959,12749,12527,12320,12088,11865,11622,11379,11125,10866,10603,10316,10024,9733,9440,9145,8831,8501,8161,7824,7468,7108,6758,6396,6025,5643,5262,4863,4485,4088,3705,3329,2969,2618,2285,1953,1663,1376,1135,902,704,523,379,266,166,85,49,23,12,6,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
